R0	Ardent Software
R77	SmartKom: Foundations of Multimodal Dialogue Systems
R78	Interaction Modalities for Digital Product Memories.
R79	Language Service Ontology.
R80	Assessment of a User's Time Pressure and Cognitive Load on the Basis of Features of Speech.
R81	From Research to Practice: Automated Negotiations with People.
R82	Humans in the Loop of Localization Processes.
R83	Empirical Studies for Intuitive Interaction.
R84	Overlay: The Basic Operation for Discourse Processing.
R85	A Summary of End-User Feedback on Digital Product Memories.
R86	Conservative Learning for Object Detectors.
R87	The Design, Deployment and Evaluation of Situated Display-Based Systems to Support Coordination and Community.
R88	Conflicting Constraints in Resource-Adaptive Language Comprehension.
R89	Artificial General Intelligence
R90	The SemProM Data Format.
R91	Reactive Kripke Semantics
R92	DPM Mapper: A Concept to Bridge the Gap Between XML-Based Digital Product Memories and Their Binary Representation.
R93	Animated Agents Capable of Understanding Natural Language and Performing Actions.
R94	Supporting Interaction with Digital Product Memories.
R95	The SmartKom Architecture: A Framework for Multimodal Dialogue Systems.
R96	Towards an Integrated Framework for Semantic Product Memories.
R97	SmartKom-Home: The Interface to Home Entertainment.
R98	Mental Search in Image Databases: Implicit Versus Explicit Content Query.
R99	Virtual Technologies and Empowerment of Users of Rehabilitation.
R100	Introduction to Bayesian Methods and Decision Theory.
R101	A Robotic Platform for Building and Exploiting Digital Product Memories.
R102	Dependency Grammar: Classification and Exploration.
R103	STEP: a Scripting Language for Embodied Agents.
R104	Playing with Agents-Agents in Social and Dramatic Games.
R105	Knowledge Representation and the Semantics of Natural Language
R106	Building Multimodal Dialogue Applications: System Integration in SmartKom.
R107	Classification and Clustering of Music for Novel Music Access Applications.
R108	The Dynamic Lexicon.
R109	SmartKom-Mobile: Intelligent Interaction with a Mobile System.
R110	Pipelining Software and Services for Language Processing.
R111	Hardware Requirements for Digital Product Memories.
R112	Intelligent Integration of External Data and Services into SmartKom.
R113	BEAT: the Behavior Expression Animation Toolkit.
R114	Ubiquitous Display Environments: An Overview.
R115	Machine Learning Techniques for Multimedia - Case Studies on Organization and Retrieval
R116	The Language Grid - Service-Oriented Collective Intelligence for Language Resource Interoperability
R117	Linguistic Processing in a Mathematics Tutoring System: Cooperative Input Interpretation and Dialogue Modelling.
R118	Analysis and Prediction of Museum Visitors' Behavioral Pattern Types.
R119	Great Expectations: Prediction in Entertainment Applications.
R120	Dimension Reduction.
R121	Working with Preferences: Less Is More
R122	Exploring Cultural Differences in Pictogram Interpretations.
R123	Intercultural Community Development for Kids around the World.
R124	Program Search as a Path to Artificial General Intelligence.
R125	Intention Recognition.
R126	The Deductive Spreadsheet
R127	Interface Agents That Facilitate Knowledge Interactions Between Community Members.
R128	Expressive Behaviors for Virtual Worlds.
R129	SmartKom-English: From Robust Recognition to Felicitous Interaction.
R130	A Digital Product Memory Architecture for Cars.
R131	An Introduction to Language Processing with Perl and Prolog: An Outline of Theories, Implementation, and Application with Special Consideration of English, French, and German
R132	Sharing Multilingual Resources to Support Hospital Receptions.
R133	The Prosody Module.
R134	An Exemplary Interaction with SmartKom.
R135	Applying Digital Product Memories in Industrial Production.
R136	Service Supervision for Runtime Service Management.
R137	The Block Interface: Accessing Digital Product Memories.
R138	An ERP-Approach to Study Age Differences in Cognitive Control Processes.
R139	The Sense of Vision: Gestures and Real Objects.
R140	Challenges and Solutions of Ubiquitous User Modeling.
R141	Resource-Adaptive Cognitive Processes
R142	Federated Operation Model for Service Grids.
R143	The Facial Expression Module.
R144	The Gesture Interpretation Module.
R145	Cascading Translation Services.
R146	Using Basic RFID-Based Digital Product Memories for Protection against Counterfeit Goods in Manufacturing Plants.
R147	Representing and Parameterizing Agent Behaviors.
R148	Seamless Resource-Adaptive Navigation.
R149	Problematic, Indirect, Affective, and Other Nonstandard Input Processing.
R150	Introducing the Cast for Social Computing: Life-Like Characters.
R151	Neural-Symbolic Cognitive Reasoning
R152	Ω
R153	Conditionals and Modularity in General Logics
R154	The Shopping Experience of Tomorrow: Human-Centered and Resource-Adaptive.
R155	Enhancement of Consumer Support in Retail Scenarios by Utilization of Semantic Product Memories.
R156	Service Grid Architecture.
R157	The Complexity of Valued Constraint Satisfaction Problems
R158	Conversational Grounding in Machine Translation Mediated Communication.
R159	Multimodal Emogram, Data Collection and Presentation.
R160	The Language Grid: Service-Oriented Approach to Sharing Language Resources.
R161	Galatea: Open-Source Software for Developing Anthropomorphic Spoken Dialog Agents.
R162	Annotation of Multimodal Data.
R163	Web Information Integration Using Multiple Character Agents.
R164	Online Content-Based Image Retrieval Using Active Learning.
R165	Scope Underspecification with Tree Descriptions: Theory and Practice.
R166	Distributed Digital Product Memories.
R167	Capturing Sensor Data in the SemProM Automotive Scenario.
R168	Contemporary Approaches to Artificial General Intelligence.
R169	Error-Induced Learning as a Resource-Adaptive Process in Young and Elderly Individuals.
R170	APML, a Markup Language for Believable Behavior Generation.
R171	Analysis of Rare Categories
R172	Life-like characters - tools, affective functions, and applications.
R173	A Behavior Language: Joint Action and Behavioral Idioms.
R174	Artificial Brains.
R175	Unsupervised Learning and Clustering.
R176	Trust Management of Ubiquitous Multi-Display Environments.
R177	Multimodal Fission and Media Design.
R178	In Context: Integrating Domain- and Situation-Specific Knowledge.
R179	Essentials of General Intelligence: The Direct Path to Artificial General Intelligence.
R180	Wizard-of-Oz Recordings.
R181	Intercultural Collaboration Tools Based on the Language Grid.
R182	MPML and SCREAM: Scripting the Bodies and Minds of Life-Like Characters.
R183	Simulating Statistical Power in Latent Growth Curve Modeling: A Strategy for Evaluating Age-Based Changes in Cognitive Resources.
R184	G
R185	xioScreen: Experiences Gained from Building a Series of Prototypes of Interactive Public Displays.
R186	Context-Sensitive Display Environments.
R187	The Object Memory Server for Semantic Product Memories.
R188	Emotion Analysis and Emotion-Handling Subdialogues.
R189	Multi-Language Discussion Platform for Wikipedia Translation.
R190	SemProM - Dissemination and Impact.
R191	Toward a Unified Scripting Language: Lessons Learned from Developing CML and AML.
R192	Language-Barrier-Free Room for Second Life.
R193	Realizing Complex User Wishes with a Function Planning Module.
R194	Class-Based Language Model Adaptation.
R195	Combining Textual and Visual Information for Semantic Labeling of Images and Videos.
R196	Universal Algorithmic Intelligence: A Mathematical Top
R197	Levels of Organization in General Intelligence.
R198	Resource-Adaptive Cognitive Processes.
R199	Some Issues in the Design of Character Scripting and Specification Languages - a Personal View.
R200	Modeling Domain Knowledge: Know-How and Know-What.
R201	Plan-Based Dialogue Management for Multiple Cooperating Applications.
R202	Horizontal Service Composition for Language Services.
R203	The Natural Way to Artificial Intelligence.
R204	Natural Language Generation with Fully Specified Templates.
R205	Modality Fusion.
R206	Machine Learning for Semi-structured Multimedia Documents: Application to Pornographic Filtering and Thematic Categorization.
R207	Flow, Gesture, and Spaces in Free Jazz - Towards a Theory of Collaboration
R208	Musical Performance - A Comprehensive Approach: Theory, Analytical Tools, and Case Studies
R209	The Languages of Western Tonality
R210	The Rubato Composer Music Software - Component-Based Implementation of a Functorial Concept Architecture
R211	Clustering and Prediction of Rankings Within a Kemeny Distance Framework.
R212	Supervised Classification of Facial Expressions.
R213	Correction of Incoherences in Statistical Matching.
R214	Equity Analysis by Functional Approach.
R215	Importance Sampling: A Variance Reduction Method for Credit Risk Models.
R216	Classifying Tourism Destinations: An Application of Network Analysis.
R217	A Hierarchical Clustering Approach to Modularity Maximization.
R218	Measuring the Success Factors of a Website: Statistical Methods and an Application to a "Web District".
R219	On the Performance of Algorithms for Two-Mode Hierarchical Cluster Analysis - Results from a Monte Carlo Simulation Study.
R220	Assessing Stability in NonLinear PCA with Hierarchical Data.
R221	Model-Based Classification Via Patterned Covariance Analysis.
R222	Nonparametric Multivariate Inference Via Permutation Tests for CUB Models.
R223	Statistical Models for Data Analysis
R224	Empirical Analysis of Attribute-Aware Recommendation Algorithms with Variable Synthetic Data.
R225	Recognising Cello Performers Using Timbre Models.
R226	Clustering Data Streams by On-Line Proximity Updating.
R227	An Unfolding Scaling Model for Aggregated Preferential Choice Data.
R228	Auralization of Auditory Models.
R229	A New Fuzzy Method to Classify Professional Profiles from Job Announcements.
R230	Three-Way Multidimensional Scaling: Formal Properties and Relationships Between Scaling Methods.
R231	Some Open Problem Sets for Generalized Blockmodeling.
R232	Improving the Performance of Principal Components for Classification of Gene Expression Data Through Feature Selection.
R233	Energy Consumption - Gross Domestic Product Causal Relationship in the Italian Regions.
R234	A Gaussian-Von Mises Hidden Markov Model for Clustering Multivariate Linear-Circular Data.
R235	Patterns of Associations in Finite Sets of Items.
R236	Spectral Clustering and Multidimensional Scaling: A Unified View.
R237	Patterns in Search Queries.
R238	Factor Preselection and Multiple Measures of Dependence.
R239	A Simplified Latent Variable Structural Equation Model with Observable Variables Assessed on Ordinal Scales.
R240	Logic Based Conjoint Analysis Using the Commuting Quantum Query Language.
R241	Data Science and Classification
R242	A Multidimensional Approach to Country of Origin Effects in the Automobile Market.
R243	Shared Components Models in Joint Disease Mapping: A Comparison.
R244	The Number of Clusters in Market Segmentation.
R245	Aggregation of Ordinal Judgements Based on Condorcet's Majority Rule.
R246	The Analysis of Network Additionality in the Context of Territorial Innovation Policy: The Case of Italian Technological Districts.
R247	One-Mode Three-Way Analysis Based on Result of One-Mode Two-Way Analysis.
R248	Comparison of Some Chosen Tests of Independence of Value-at-Risk Violations.
R249	Empirical Approach as a Scientific Framework for Data Analysis.
R250	Evaluating Different Approaches to Measuring the Similarity of Melodies.
R251	Robustness Versus Consistency in Ill-Posed Classification and Regression Problems.
R252	The Combined Median Rank-Based Gini Index for Customer Satisfaction Analysis.
R253	A Dynamic Clustering Method for Mixed Feature-Type Symbolic Data.
R254	Parallel Coordinate Plots in Archaeology.
R255	Symbolic Clustering of Large Datasets.
R256	Modified Randomized Modularity Clustering: Adapting the Resolution Limit.
R257	Analyzing the Structure of U.S. Patents Network.
R258	Antecedents and Outcomes of Participation in Social Networking Sites.
R259	On Clustering and Classification Via Mixtures of Multivariate t-Distributions.
R260	A Tree-Based Similarity for Evaluating Concept Proximities in an Ontology.
R261	On the Simultaneous Analysis of Clinical and Omics Data: A Comparison of Globalboosttest and Pre-validation Techniques.
R262	Size and Power of Multivariate Outlier Detection Rules.
R263	Algorithms from and for Nature and Life - Classification and Data Analysis
R264	Hierarchical Clustering for Boxplot Variables.
R265	Design of Dissimilarity Measures: A New Dissimilarity Between Species Distribution Areas.
R266	On Matters of Invariance in Latent Variable Models: Reflections on the Concept, and its Relations in Classical and Item Response Theory.
R267	Comparison of Classical and Sequential Design of Experiments in Note Onset Detection.
R268	Simulation Experiments for Similarity Indexes Between Two Hierarchical Clusterings.
R269	Crisp Partitions Induced by a Fuzzy Set.
R270	A Model for the Clustering of Variables Taking into Account External Data.
R271	Product Design Optimization Using Ant Colony And Bee Algorithms: A Comparison.
R272	Using the Variation Coefficient for Adaptive Discrete Beta Kernel Graduation.
R273	Hospital Clustering in the Treatment of Acute Myocardial Infarction Patients Via a Bayesian Semiparametric Approach.
R274	Local Models in Register Classification by Timbre.
R275	Identifying and Classifying Social Groups: A Machine Learning Approach.
R276	ANOVA Models with Generalized Inverses.
R277	Factor PD-Clustering.
R278	A Continuous Time Mover-Stayer Model for Labor Market in a Northern Italian Area.
R279	On the Number of Modes of Finite Mixtures of Elliptical Distributions.
R280	Ordering Curves by Data Depth.
R281	Cluster Analysis Based on Pre-specified Multiple Layer Structure.
R282	Local Clique Merging: An Extension of the Maximum Common Subgraph Measure with Applications in Structural Bioinformatics.
R283	A Two Layers Incremental Discretization Based on Order Statistics.
R284	Correspondence Analysis in the Case of Outliers.
R285	A Comparison of Objective Bayes Factors for Variable Selection in Linear Regression Models.
R286	An Approach to Ranking the Hedge Fund Industry.
R287	Applying Location Planning Algorithms to Schools: The Case of Special Education in Hesse (Germany).
R288	The Application of M-Function Analysis to the Geographical Distribution of Earthquake Sequence.
R289	Component Analysis for Structural Equation Models with Concomitant Indicators.
R290	Model-Based Clustering of Multistate Data with Latent Change: An Application with DHS Data.
R291	Cluster It! Semiautomatic Splitting and Naming of Classification Concepts.
R292	Identification of Risk Factors in Coronary Bypass Surgery.
R293	Asymmetric Multidimensional Scaling of Relationships Among Managers of a Firm.
R294	An Empirical Examination of Daily Stock Return Distributions for U.S. Stocks.
R295	A Case Study About the Effort to Classify Music Intervals by Chroma and Spectrum Analysis.
R296	Visualizing Data in Social and Behavioral Sciences: An Application of PARAMAP on Judicial Statistics.
R297	Interactive Principal Components Analysis: A New Technological Resource in the Classroom.
R298	Linear Logistic Models with Relaxed Assumptions in R.
R299	Determining the Similarity Between US Cities Using a Gravity Model for Search Engine Query Data.
R300	An Evaluation Measure for Learning from Imbalanced Data Based on Asymmetric Beta Distribution.
R301	Mining Association Rules in Folksonomies.
R302	Beanplot Data Analysis in a Temporal Framework.
R303	A Further Proposal to Perform Multiple Imputation on a Bunch of Polytomous Items Based on Latent Class Analysis.
R304	Fuzzy and Crisp Mahalanobis Fixed Point Clusters.
R305	Clustering and Registration of Multidimensional Functional Data.
R306	On Variability of Optimal Policies in Markov Decision Processes.
R307	Properties and Performance of Shape Similarity Measures.
R308	Summarizing and Detecting Structural Drifts from Multiple Data Streams.
R309	Computational Prediction of High-Level Descriptors of Music Personal Categories.
R310	Iterated Boosting for Outlier Detection.
R311	New Efficient Algorithm for Modeling Partial and Complete Gene Transfer Scenarios.
R312	Calibration with Spatial Data Constraints.
R313	Robust Random Effects Models: A Diagnostic Approach Based on the Forward Search.
R314	Dependence and Interdependence Analysis for Interval-Valued Variables.
R315	A New Efficient Method for Assessing Missing Nucleotides in DNA Sequences in the Framework of a Generic Evolutionary Model.
R316	A Model-Based Approach for Qualitative Assessment in Opinion Mining.
R317	Outlier Detection for Geostatistical Functional Data: An Application to Sensor Data.
R318	Analyzing Trading Behavior in Transaction Data of Electronic Election Markets.
R319	Evaluation of Allocation Rules Under Some Cost Constraints.
R320	High-Dimensional Bayesian Classifiers Using Non-Local Priors.
R321	Finding Meaningful and Stable Clusters Using Local Cluster Analysis.
R322	Latent Class Models of Time Series Data: An Entropic-Based Uncertainty Measure.
R323	The Credit Accumulation Process to Assess the Performances of Degree Programs: An Adjusted Indicator Based on the Result of Entrance Tests.
R324	Linking Quality Function Deployment and Conjoint Analysis for New Product Design.
R325	Efficient Spatial Segmentation of Hyper-spectral 3D Volume Data.
R326	Lifestyle Segmentation Based on Contents of Uploaded Images Versus Ratings of Items.
R327	The Importance of E-Commerce in China and Russia - An Empirical Comparison.
R328	Multidimensional Scaling of Histogram Dissimilarities.
R329	Comparing Optimal Individual and Collective Assessment Procedures.
R330	Stages, Gates, and Conflicts in New Product Development: A Classification Approach.
R331	Convex Optimization as a Tool for Correcting Dissimilarity Matrices for Regular Minimality.
R332	Multivariate Modelling of Cross-Commodity Price Relations Along the Petrochemical Value Chain.
R333	Modelling Spatial Variations of Fertility Rate in Italy.
R334	On Two Classes of Weighted Rank Correlation Measures Deriving from the Spearman's 
R335	Clustering Including Dimensionality Reduction.
R336	An Approach to Forecasting Beanplot Time Series.
R337	Non-symmetrical Correspondence Analysis of Abbreviated Hard Laddering Interviews.
R338	Symbolic Cluster Representations for SVM in Credit Client Classification Tasks.
R339	Analytical Lead Management in the Automotive Industry.
R340	Spatial Data Mining for Clustering: An Application to the Florentine Metropolitan Area Using RedCap.
R341	Data Analysis and Decision Support
R342	Performance Drivers for Depth-First Frequent Pattern Mining.
R343	Mixture Model Clustering with Covariates Using Adjusted Three-Step Approaches.
R344	A New Wasserstein Based Distance for the Hierarchical Clustering of Histogram Symbolic Data.
R345	Solving the Minimum Sum of L1 Distances Clustering Problem by Hyperbolic Smoothing and Partition into Boundary and Gravitational Regions.
R346	Classification of Data Chunks Using Proximal Vector Machines and Singular Value Decomposition.
R347	Loyalty Programs and Their Impact on Repeat Purchase Behaviour: An Extension on the "Single Source" Panel 
R348	A Tree Structured Classifier for Symbolic Class Description.
R349	A New Effective Method for Elimination of Systematic Error in Experimental High-Throughput Screening.
R350	Issues on Clustering and Data Gridding.
R351	User-Generated Content for Image Clustering and Marketing Purposes.
R352	Inference on the CUB Model: An MCMC Approach.
R353	Heuristic Bundling.
R354	Implications of Axiomatic Consensus Properties.
R355	Using MCMC as a Stochastic Optimization Procedure for Musical Time Series.
R356	Complexity Selection with Cross-validation for Lasso and Sparse Partial Least Squares Using High-Dimensional Data.
R357	Interpreting Error Measurement: A Case Study Based on Rasch Tree Approach.
R358	Financial Management in an International Company: An OR-Based Approach for a Logistics Service Provider.
R359	Dissimilarities for Web Usage Mining.
R360	Piano and Guitar Tone Distinction Based on Extended Feature Analysis.
R361	A Metric Based Approach for the Least Square Regression of Multivariate Modal Symbolic Data.
R362	Misspecification Resistant Model Selection Using Information Complexity with Applications.
R363	Optimal Network Revenue Management Decisions Including Flexible Demand Data and Overbooking.
R364	Model-Based Clustering - Discussion on Some Approaches.
R365	The Option of No-Purchase in the Empirical Description of Brand Choice Behaviour.
R366	Detecting Person Heterogeneity in a Large-Scale Orthographic Test Using Item Response Models.
R367	Graduation by Adaptive Discrete Beta Kernels.
R368	Generalized N-gram Measures for Melodic Similarity.
R369	Principal Components Analysis for a Gaussian Mixture.
R370	Intrablocks Correspondence Analysis.
R371	Dynamic Data Analysis of Evolving Association Patterns.
R372	Empirical Comparison of a Monothetic Divisive Clustering Method with the Ward and the k-means Clustering Methods.
R373	Can the Students' Career be Helpful in Predicting an Increase in Universities Income?
R374	Visualisation of Cluster Analysis Results.
R375	High Performance Hardware Architectures for Automated Music Classification.
R376	Vulnerability of Copula-VaR to Misspecification of Margins and Dependence Structure.
R377	Repeated Confidence Intervals in Self-Organizing Studies.
R378	Properties of a General Measure of Configuration Agreement.
R379	Performance Measurement of Italian Provinces in the Presence of Environmental Goals.
R380	Critical Success Factors for Data Mining Projects.
R381	A MCMC Approach for Learning the Structure of Gaussian Acyclic Directed Mixed Graphs.
R382	Interpretation Aids for Multilayer Perceptron Neural Nets.
R383	A Diversity Measure for Tree-Based Classifier Ensembles.
R384	External Analysis of Asymmetric Multidimensional Scaling Based on Singular Value Decomposition.
R385	Web Panel Representativeness.
R386	Comparison of Distance Indices Between Partitions.
R387	Grouping Around Different Dimensional Affine Subspaces.
R388	A Clusterwise Regression Method for the Prediction of the Disposal Income in Municipalities.
R389	klaR Analyzing German Business Cycles.
R390	A New Distance Function for Prototype Based Clustering Algorithms in High Dimensional Spaces.
R391	An Approach for Topic Trend Detection.
R392	Sentiment Analysis of Online Media.
R393	Visualisation and Analysis of Affiliation Networks as Tools to Describe Professional Profiles.
R394	An Efficient Branch and Bound Procedure for Restricted Principal Components Analysis.
R395	Variable Selection in Cluster Analysis: An Approach Based on a New Index.
R396	Clustering Ordinal Data via Latent Variable Models.
R397	Optimal Decision Rules for Constrained Record Linkage: An Evolutionary Approach.
R398	Development of a Long-Term Strategy for the Moscow Urban Transport System.
R399	A Theoretical and Empirical Analysis of the Black-Litterman Model.
R400	Die Nutzung von multivariaten statistischen Verfahren in der Praxis - Ein Erfahrungsbericht 20 Jahre danach.
R401	Classification of Roman Tiles with Stamp PARDALIVS.
R402	Model Selection for the Binary Latent Class Model: A Monte Carlo Simulation.
R403	Asymmetric Multidimensional Scaling Models for Seriation.
R404	Data Stream Summarization by Histograms Clustering.
R405	Improved Fr
R406	Revised Boxplot Based Discretization as the Kernel of Automatic Interpretation of Classes Using Numerical Variables.
R407	Graphical Models for Eliciting Structural Information.
R408	Optimization in Symbolic Data Analysis: Dissimilarities, Class Centers, and Clustering.
R409	Sub-species of 
R410	Comparing Earth Mover's Distance and its Approximations for Clustering Images.
R411	kNN Versus SVM in the Collaborative Filtering Framework.
R412	Comparison of Two Methods for Detecting and Correcting Systematic Error in High-throughput Screening Data.
R413	Adaptive Spectral Clustering in Molecular Simulation.
R414	An Efficient Algorithm for the Detection and Classification of Horizontal Gene Transfer Events and Identification of Mosaic Genes.
R415	Regularization and Model Selection with Categorical Covariates.
R416	Dynamic Principal Component Analysis: A Banking Customer Satisfaction Evaluation.
R417	Classification and Data Mining
R418	Evolutionary Customer Evaluation: A Dynamic Approach to a Banking Case.
R419	A Two-Phase Clustering Based Strategy for Outliers Detection in Georeferenced Curves.
R420	Fundamental Portfolio Construction Based on Mahalanobis Distance.
R421	Joint Correspondence Analysis Versus Multiple Correspondence Analysis: A Solution to an Undetected Problem.
R422	A Middleware for High-Speed Distributed Real-Time Robotic Applications.
R423	Human-Robot Interaction.
R424	A Robot System for Biomimetic Navigation - From Snapshots to Metric Embeddings of View Graphs.
R425	Detection and Avoidance of Singularities in Parallel Kinematic Machines.
R426	Redundant Parallel Kinematic Structures and Their Control.
R427	Probabilistic Approaches to Robotic Perception.
R428	Dead Reckoning, Cognitive Maps, Animal Navigation and the Representation of Space: An Introduction.
R429	Motion Planning Using a ToF Camera for Manipulation in Cluttered Environments.
R430	Grasping and Control of Multi-Fingered Hands.
R431	Manipulation Primitives - A Universal Interface between Sensor-Based Motion Control and Robot Programming.
R432	Rule Set Based Joint State Update.
R433	Semantic Attachments for Domain-Independent Planning Systems.
R434	Parallel Kinematic Structures of the SFB 562.
R435	Visual Control of Wheeled Mobile Robots - Unifying Vision and Control in Generic Approaches
R436	Learning Cognitive Maps: Finding Useful Structure in an Uncertain World.
R437	These Maps Are Made for Walking - Task Hierarchy of Spatial Cognition.
R438	Robot Development Process in the DESIRE Project.
R439	Towards Service Robots for Everyday Environments - Recent Advances in Designing Service Robots for Complex Tasks in Everyday Environments
R440	Robust Gain Scheduling for Smart-Structures in Parallel Robots.
R441	Structure and Type Synthesis of Parallel Manipulators.
R442	Advanced Bimanual Manipulation - Results from the DEXMART Project
R443	Robot Mapping: An Introduction.
R444	An Intellectual History of the Spatial Semantic Hierarchy.
R445	Self-Organizing Robots
R446	Integrated Force and Motion Control of Parallel Robots - Part 1: Unconstrained Space.
R447	DESIRE WEB 2.0 - Integration Management and Distributed Software Development for Complex Service Robots.
R448	Robotics and Cognitive Approaches to Spatial Mapping
R449	Event-Oriented Incremental Component Construction.
R450	Scene Analysis for Service Robots.
R451	A Communication Architecture for Distributed Real-Time Robot Control.
R452	Continual Multiagent Planning.
R453	Editorial.
R454	Range-Based People Detection and Tracking for Socially Enabled Service Robots.
R455	Approaching Human Performance - The Functionality-Driven Awiwi Robot Hand
R456	Editorial.
R457	Structure from Motion using the Extended Kalman Filter
R458	Passive and Adaptive Joints for Parallel Robots.
R459	Navigation in Landmark Networks.
R460	Semi Automatic Object Modeling for a Service Robot.
R461	Observation and Execution.
R462	Face Detection and Person Identification on Mobile Platforms.
R463	Robots as Tools for Modelling Navigation Skills - A Neural Cognitive Map Approach.
R464	Landmarks for Navigation in Human and Robots.
R465	Simultaneous Localization and Mapping.
R466	RCA562: Control Architecture for Parallel Kinematic Robots.
R467	Robotic Systems for Handling and Assembly
R468	A High-Speed Tactile Sensor for Slip Detection.
R469	Editorial.
R470	Proactive Continual Planning - - Deliberately Interleaving Planning and Execution in Dynamic Environments.
R471	Parallel Stiffness Actuators with Six Degrees of Freedom for Efficient Force/Torque Control Applications.
R472	Stochastic Reactive Distributed Robotic Systems - Design, Modeling and Optimization
R473	Integrated Force and Motion Control of Parallel Robots - Part 2: Constrained Space.
R474	Efficient Topology Estimation for Large Scale Optical Mapping.
R475	Tree Climbing Robot - Design, Kinematics and Motion Planning
R476	Editorial.
R477	Robot and Cognitive Approaches to Spatial Mapping.
R478	Semantic 3D Object Maps for Everyday Robot Manipulation
R479	Editorial.
R480	Structuring Human-Robot-Interaction in Tutoring Scenarios.
R481	Robot Physical Interaction through the combination of Vision, Tactile and Force Feedback - Applications to Assistive Robotics
R482	Multi-Locomotion Robotic Systems - New Concepts of Bio-inspired Robotics
R483	Modeling, Control, and Evaluation of an Experimental Adaptronic Five-Bar Robot.
R484	Editorial.
R485	Robot Cognitive Mapping - A Role for a Global Metric Map in a Cognitive Mapping Process.
R486	Robot Hardware Design in the DESIRE Project.
R487	Identifying Relevant Tactile Features for Object Identification.
R488	An Automatic Grasp Planning System for Multi-fingered Robotic Hands.
R489	Component Based Architecture for an Intelligent Mobile Manipulator.
R490	Layered Programming by Demonstration and Planning for Autonomous Robot Manipulation.
R491	Towards Safe Robots - Approaching Asimov's 1st Law
R492	Introduction to Autonomous Manipulation - Case Study with an Underwater Robot, SAUVIM
R493	Hybrid, Metric-Topological Representation for Localization and Mapping.
R494	A Mixed-Initiative Approach to Interactive Robot Tutoring.
R495	Geometry and Navigation.
R496	Robotics, Vision and Control - Fundamental Algorithms in MATLAB
R497	Mechanics of Localized Slippage in Tactile Sensing - And Application to Soft Sensing Systems
R498	Knowledge-Based Design Principles and Tools for Parallel Robots.
R499	Body Schema Learning.
R500	Assembly Planning and Task Planning - Two Prerequisites for Automated Robot Programming.
R501	Configuration Switching for Workspace Enlargement.
