S0	friends atdinner
S73	Two dogs are playing on the carpet with a bone.
S74	Two dogs with one bone on a green and blue carpet
S75	A group of people gets ready to enjoy a meal around the table.
S76	A group of people sitting around a table containing food.
S77	A mixture of people sit in a living room around a table filled with snacks.
S78	Four people are sitting around a living room with.snacks
S79	the people are posed around a coffee table.
S80	A girl has a meal and sips a drink by the water.
S81	A lady having a meal on plastic furniture overlooking the water.
S82	A women drinking while sitting at a plastic table by the sea.
S83	The woman is drinking from a straw at a restaurant on the beach.
S84	Woman eating and drinking while overlooking the ocean.
S85	a room with a red ottoman overlooking a window
S86	A room with christmas lights and furniture covered in bright cloths.
S87	A view outside looking outside a window.
S88	Furniture is covered by sheets in a room with a view of the street.
S89	Furniture pieces covered with sheets are near a window with Christmas lights.
S90	A kitchendiner with papers laying on the blue clothed dining table.
S91	A small kitchen and a cluttered table with a blue table cloth.
S92	Table with blue table cloth in kitchen.
S93	The dining room and kitchen of a small apartment.
S94	The small kitchen area is cluttered.
S95	A man holding a baby and a woman eating at a table.
S96	A man, with a baby in his lap, next to a woman who is eating
S97	An elderly Asian couple pose with a yawning baby at a dinner table.
S98	An older Asian couple poses with a newborn baby at the dinner table.
S99	Oriental couple with an infant at a table of food.
S100	A group of people sit around a table with food and beer.
S101	four people sitting at a table
S102	Three men eating in a kitchen.
S103	Three men sitting at the table with beer and food.
S104	Three older men sitting at table drinking beer and eating soup.
S105	A black table with white fuzzy chair.
S106	A dining room set with a black table and eight tan suede chairs.
S107	A dining room set with a black table and eight white chairs
S108	A dining room table with six chairs and a centerpiece.
S109	A minimalist dinning room.
S110	A dinner table set for three people.
S111	A Thanksgiving meal with white daisies on a small table.
S112	Dinner sitting on a table and ready to be served.
S113	There is a turkey on the table along with other foods on plates.
S114	The table is set for a turkey dinner and decorated with white daisies.
S115	A group of people sit at a table in an Italian restaurant
S116	A social gathering of people in a restaurant.
S117	Four women and two men sit at a long table in a restaurant.
S118	Group of people sitting at a table at a restaurant.
S119	People pose on either side of a restaurant table.
S120	A bronze statue of a buddy holding a candle sitting on a white table and runner with leaves.
S121	A buddha candle holder rests on a bamboo mat in the center of the table.
S122	A buddha statue holding a candle is sitting on a table.
S123	A buddha statue sits on a table with a wooden table runner.
S124	A Buddhist idle is placed at the center of a long white table on top of a bamboo runner.
S125	A table and three chairs with a large wall cupboard above.
S126	A table in a small kitchen with a scale and a box of Canada Dry.
S127	A table with three chairs in a room with plywood walls.
S128	Small kitchen table with small food scale on top.
S129	The dining room has a table and chairs underneath a low hanging cabinet.
S130	A country dinner setting with a bounty of food such as, steak, fruit, salad and coffee.
S131	A dining table set and full of food in serving platters.
S132	A dinner set up on a family's table.
S133	A table is set for more than five people to eat beef, pie, salad, and fruit.
S134	Kitchen table with food and plates set on it.
S135	A group of friends gathered in a restaurant eating.
S136	Five people pose at a restaurant table.
S137	Group of people sitting at table of restaurant.
S138	Two men and three women in a restaurant.
S139	Two older men and three women seated at a restaurant table.
S140	A busy restaurant with four people looking at the camera.
S141	A group of people eat at a table outside.
S142	a group of people enjoying a meal in a restaurant on a sunny day
S143	A group of people having a meal outside.
S144	A group of people look up from their food for a photo.
S145	A dining room is in a house with brown carpet, a table and a fan.
S146	A dining room with a table and four chairs.
S147	A table and chairs are in a room with a picture on the wall and a ceiling fan.
S148	Somebody's modest dining room.
S149	Table and chairs underneath ceiling fan.
S150	Two people are sitting in a small antique shop.
S151	Two women are sitting in a cafe.
S152	Two women seated at a table in plastic chairs in a cluttered room.
S153	Two women sitting at a table smiling.
S154	Two women sitting in chairs in a shop.
S155	a family of four raising their glasses for a toast
S156	A group of people sitting around a dining table holding drinks in the air.
S157	A group of people sitting around a table with food on it.
S158	Four people sitting around a dinner table eating and drinking.
S159	Four people sitting at the table raising their glasses.
S160	A woman in a blue dress cuts a cake.
S161	A woman wearing a navy dress is cutting a cake on a white table.
S162	A women cutting a cake on a white plastic table.
S163	Woman cutting cake
S164	Woman in blue shift dress cutting into food.
S165	An Indian woman sits at a wooden table in front of a framed basketball poster.
S166	A woman in a sari drinks something while sitting at a table.
S167	A woman sitting drinking from a cup in front of a basketball photo.
S168	A women sitting at a table drinking with a basketball picture in the background.
S169	Woman sitting by herself at a table drinking from a white cup.
S170	A mother and her child.
S171	A tiny blonde child in a blue dress sits on a table near her mother.
S172	A woman with a smiling baby sitting on the table.
S173	Smiling infant girl sitting near blonde woman.
S174	Young baby girl sitting on table.
S175	A middle-aged woman poses for the camera at a steakhouse.
S176	A woman in a white blouse and black necklace sits at a table.
S177	A woman wearing black and white sits at a table with an empty plate, a cellphone, a bag and a glasses.
S178	A women sitting in a restaurant wearing a black and white outfit.
S179	Woman sitting at a table with an empty plate.
S180	A group of men sitting around a table drinking while a man behind stands pointing.
S181	An evening celebrations of good friends at a popular restaurant.
S182	At a party, five men are seated at a table while another man stands pointing.
S183	Five men are sitting at at restaurant table.
S184	Six avians at dinner
S185	A brown formal dining table with four chairs underneath a crystal chandelier.
S186	A dining room containing a dining table and chairs along with a cabinet.
S187	An elegant chandelier hangs in a room with antique wooden furnishings.
S188	A traditionally decorated dining room.
S189	Elegant dining room with wood furniture.
S190	A bright, lovely dining room is shown, decorated with clean, rich, antique furniture.
S191	A formal dining room has a china cabinet, buffet, and table and chairs.
S192	An elegant pink dining room with wooden furniture.
S193	A stately dining room contains a funky chandelier and antique furniture.
S194	The room is very ornately decorated and has pink walls.
S195	a group of people sitting outside at a picnic table under a canopy
S196	A group of people sit under a tent, at a table with an orange table cloth.
S197	Several people mingle at an outdoor party.
S198	Several people sit under an awning, talking and eating, while others stand out in the sun.
S199	The people are sitting down and eating on a table covered with an orange tablecloth.
S200	A black and white dog looking at the camera.
S201	A black boxer dog with a white underbelly and brown collar looks at the camera.
S202	a close up of a black pug
S203	A dog's face.
S204	Close up of black and white bulldog's face.
S205	A few people and a dog are inside a lean-to type structure.
S206	A group of people and a black and white dog standing in a construction site.
S207	A group of people in an incomplete house shot from outside.
S208	People gathered in an unfinished building.
S209	Several people standing inside of house with black and white dog lying down.
S210	A mother reading with her daughter and dog.
S211	A mother reads to her daughter with the dog looking on.
S212	Mom reading to daughter and dog
S213	Older woman reading a book to young girl in pink jacket.
S214	Woman, girl, and dog reading on a blue sofa.
S215	A pet hopes for a new owner.
S216	A woman in a grey coat pets a black and white dog.
S217	A woman pets a dog in a fenced area.
S218	A woman pets a dog in a gated yard.
S219	Young lady bent down petting a black and white dog inside a fence.
S220	A cat and a dog laying on a rug in the sunshine.
S221	A small dog and a cat laying on its side, both on a white rug
S222	Two dogs on a rug with sun shining through the window.
S223	Two small black dogs lay in the sun on a fluffy white rug and one looks directly at the camera.
S224	Two small black dogs on a furry white rug.
S225	an old black woman wearing a turban and a headdress and a dog next to her wearing the same red headdress
S226	A woman and dog are dressed in colorful clothes and sitting outside.
S227	Black woman with flower hat sitting next to dog with the same hat.
S228	The woman and the dog are both wearing flowers on their heads.
S229	Woman and her small dog dressed up together sitting on concrete curb.
S230	A dog is wearing a gray jacket.
S231	A pug in a bomber jacket.
S232	A pug sitting while wearing an aviator jacket.
S233	Pug dressed in leather pilot jacket.
S234	The dog is a Pug and is wearing a bomber jacket.
S235	A black dog is chasing an object.
S236	A black dog running through dry grass with trees behind.
S237	A dog runs across a dry field.
S238	Dog running through dry dead grass.
S239	The dog retrieves the stick.
S240	A small gray dog on a leash.
S241	a small terrier on leash
S242	Furry gray dog on a leash.
S243	The tiny dog notices something on his daily walk.
S244	Young schnauzer on leash.
S245	A small tan dog and a large brown dog bite each other.
S246	A small white puppy plays with a large brown dog.
S247	Big dog fighting with little dog
S248	Large brown dog and small dog playing.
S249	the two dogs are fighting
S250	A black dog standing in a grassy area.
S251	A black lab looks on while standing in the dry brush.
S252	A large, black, long-haired dog stands in a sunny field.
S253	A long-haired dog stands in a grassy wooded area.
S254	Long-haired black dog standing in grassy field.
S255	A brown dachshund beside the door.
S256	A brown dog sits in the sun.
S257	An adorable brown dog with long ears standing by a white wall.
S258	a small brown dog sitting on a hard wood floor
S259	Small dog sitting next to white wall.
S260	A close up picture of a Saint Bernard.
S261	A large brown and white dog.
S262	A St. Bernard dog close-up with a sleepy look on his face.
S263	A St. Bernard dog sitting in a grassy area
S264	Close-up of a St. Bernard.
S265	A scruffy dog looks up at someone.
S266	A tan color dog looks up at a person wearing cargo pants
S267	A tan dog with its mouth open looking up at someone in khaki pants.
S268	Cute Benji like dog showing his bottom teeth.
S269	Shaggy dog looking up at a person.
S270	A black and brown dog lays on the top step of a wooden deck.
S271	A black, white and brown dog lays at the top of some stairs.
S272	A dog lies down at the top of the deck steps.
S273	A large dog sitting at the top of some wooden stairs with a house behind.
S274	The dog on the porch at the top of a staircase is yawning.
S275	A man holds a ball in a puppies mouth.
S276	A puppy bites a ball.
S277	A small puppy being fed a chocolate treat.
S278	A tan puppy with a hand holding something in his mouth.
S279	Someone is putting something in the white dog's mouth.
S280	A black dog and two sheep running through the grass.
S281	A black dog is running with two sheep in a grassy field.
S282	A dog herding two sheep.
S283	A sheep dog and two sheep walking in a field.
S284	Black dog herding sheep in grassy field.
S285	A brown dog curled up in its bed.
S286	A dog laying in a pet jacket.
S287	A tan dog lying on a moggie bed looking up at the camera.
S288	Tan canine lying down in white bed.
S289	The brown dog is laying on a round dog bed.
S290	Black adult dog with black puppy lying down on the carpet.
S291	The big black dog and the small black dog is laying on the floor.
S292	Two black dogs laying on a rug.
S293	Two black dogs resting.
S294	Two large black dogs lie on the floor with a yellow stuffed animal.
S295	A small white dog standing, wearing some dog-clothing.
S296	A small white dog wearing a flannel warmer.
S297	A small white dog wearing a jacket looks up at the camera.
S298	Small terrier wearing a patterned sweater.
S299	The small dog is wearing a sweater and looking up at the camera.
S300	A black dog in a grass field.
S301	A black dog standing in a field.
S302	A gray wolf with a collar stands in the wild grass.
S303	A grey dog standing in a grassy field.
S304	Dark colored dog standing in grassy field.
S305	A brown and white dog laying on the bed while a woman looks on.
S306	A dog laying on top of the blanket a woman is laying under.
S307	A dog on a bed with a woman in it.
S308	a dog sitting on a yellow blanket
S309	A tan and white dog laying in bed with a yellow coverlet.
S310	The caged dogs are spread from the others.
S311	Two black and white dogs behind chain link fence.
S312	Two dogs in a fenced kennel look ahead.
S313	Two dogs locked into a gated area with a doghouse inside.
S314	Two dogs sitting in a large dog pen.
S315	A brown and white dog sits on a floral-patterned chair.
S316	A small orange and white dog with a collar and a bell relaxes on a flower print pillow.
S317	Brown and white dog with bell on black collar.
S318	Dog on a flower print pillow
S319	White and tan dog on a flowered couch.
S320	A black dog
S321	A black dog is in a forest
S322	A black dog standing in front of yellow flowers.
S323	Black long-haired dog standing in middle of garden.
S324	Profile of a black dog.
S325	A girl and dog pose before a Christmas tree with a train track circling it.
S326	A girl in purple pajamas and a dog under the Christmas tree.
S327	A young girl in purple with black and white dog in front of a Christmas tree.
S328	The girl is petting a dog in front of a christmas tree.
S329	Young girl near Christmas tree sitting on floor with black and white dog.
S330	A dog lies down with its mouth open.
S331	A dog pokes it's head out from under a pile of stuff.
S332	A dog underneath a wooden beam.
S333	A dog with a white, black, and brown face is under a wooden beam.
S334	The dog is looking at the camera from under a piece of wood.
S335	A small black and tan dog is wearing a pink jacket while laying on the pavement.
S336	A small dog wearing a pink shirt tied to a railing.
S337	A small terrier wearing a pink raincoat sits on the pavement and gazes into the distance.
S338	Black and tan puppy dressed in pink outfit lying down on black top.
S339	Dog in pink jackethalter tied to a fence
S340	A black dog looking at the camera.
S341	A black dog sitting on grass next to a sidewalk.
S342	A black labrador lying in a landscaped area near a sidewalk.
S343	A dog sits in some monkey grass next to a rock garden.
S344	The black lab looks curiously at the photographer.
S345	A young boy holds a puppy up in front of a spiderman poster.
S346	A young boy is holding a white puppy while standing in front of a large Spiderman picture.
S347	Little boy holding white puppy standing in front of Spiderman poster.
S348	Small boy and puppy standing in front of a film poster.
S349	The young boy holds the a puppy at a flea market.
S350	A small boy laying on a sofa with a dog.
S351	A young boy laying on a sofa with a dog
S352	Boy laying on couch with dog
S353	Boy lying on couch with small white dog.
S354	The boy is lying on a couch with a puppy.
S355	Two dogs playing in the water.
S356	Two dogs swimming in a body of water.
S357	Two white dogs are swimming in the water.
S358	two white dogs playing in shallow water
S359	Two white dogs play in shallow water.
S360	A chihuahua is standing on the ground looking up at the camera.
S361	An eager puppy eyes what could be a snack.
S362	A small chihuahua standing in a yard looking up at the camera.
S363	A small dog looking up at the camera while standing on grass.
S364	Small white and brown chihuahua looking up.
S365	a small dog running
S366	A small running dog coming towards the camera.
S367	A yorkshire terrier running fast.
S368	Small brown dog.
S369	Yorkie in mid-run
S370	A man in camouflage clothing is crouching behind a bush while a white dog looks on.
S371	A man is on the ground near a white dog on a leash.
S372	A small white dog on a leash and a man in combat fatigues on a hillside.
S373	Soldier hunting a puppy
S374	White dog standing in gravel in front of man dressed in army uniform.
S375	A brindle dog lying on a cushion next to a plant.
S376	A brown and white dog lays on a large green pillow.
S377	A dog sleeping on his back.
S378	A dog sleeps belly up near furniture.
S379	Young boxer lying upside down in bed.
S380	A black and white dog sniffing at a closed door.
S381	A brown and white dog beside the door.
S382	A dog is standing in a hallway with its nose pressed to the bottom of a door.
S383	A dog sniffing the bottom of a door.
S384	A small black and white dog is sniffing the bottom of a door.
S385	A white animal running through snow covered woods.
S386	A white dog running through the forest covered in snow
S387	A white dog runs through a snow covered wood.
S388	Furry white dog running through snow.
S389	The dog is playing with a snowball on a wintry day.
S390	A black and white cat and dog on a striped couch
S391	A black and white cat chilling out with a black and white dog on a striped sofa.
S392	A brown dog and black cat sharing a tan sofa.
S393	Brown dog and black cat on the couch
S394	Dogs and cats can get along!
S395	A black cat on a pillow and a grey dog on a sofa.
S396	A cat and a dog look at each other from across a room.
S397	A cat lays on a rug and a dog lays on a couch.
S398	A dog sleeping on a sofa while a black cat sits on a cushion.
S399	A shaggy black dog on a couch to the left and a black cat on a cushion to the right
S400	a dog napping under a small table
S401	A dog sleeping under a table.
S402	Brown and white sleeping dog.
S403	The spotted dog naps under the chair.
S404	The white, brown, and black spotted dog is asleep under the bench.
S405	A brown and white dog standing on hind legs looking out a window.
S406	A brown and white dog standing on his hind legs looking out of a window.
S407	A dog looking out of a window while standing on its hind legs.
S408	Dog looking out window
S409	Young brown and white dog looking out window.
S410	A brown dog laying on a carpeted floor next to a table.
S411	A tan dog on the cream carpet.
S412	A tan puppy on a carpeted floor.
S413	Tan puppy lying down on white carpeting.
S414	The curious puppy's interest is perked up in the other room.
S415	A dog is lying at the bottom of a staircase next to another standing dog.
S416	Two black and white dogs at the bottom of stairs.
S417	Two black and white dogs looking guiltily at the camera while sitting or standing at the bottom of steps.
S418	Two dogs eye the covered stairs, knowing to stay off.
S419	Two dogs looking up a set of stairs.
S420	A man sitting on a bench looking at a dog on a leash sitting on sidewalk.
S421	A man wearing a red and black plaid shirt looks at a fluffy white dog.
S422	A small white dog looks down the street while a man on a bench watches the dog.
S423	A small white dog on a leash is sitting on the ground near a man wearing red and black plaid.
S424	A small white dog tied up in front of a man sitting on a bench in the street.
S425	A brown dog lying on the grass.
S426	A brown dog smelling grass.
S427	A large down resting on the lawn.
S428	The pet dog rest in the yard.
S429	The way this great dune is sprawled on the grass suggests it might be tired.
S430	A man walking a dog on the beach near large waves.
S431	a man walking a small dog on a very wavy beach
S432	A person in a large black coats walks a white dog on the beach through rough waves.
S433	A person walks a dog along the water's edge.
S434	Walking a dog on the edge of the ocean
S435	An elderly woman poses beside a small child dressed as a bumble-bee on Halloween.
S436	An older woman faces the camera with a baby dressed as a bee on Halloween.
S437	An older women next to a child dressed in a costume.
S438	A woman hugs a child that is in a bumblebee costume.
S439	A woman poses with a toddler in a costume.
S440	a dog in the kitchen drinking water from a bowl
S441	A huge brown and white greyhound dog eats from a bowl on the floor of the tiny kitchen.
S442	A large brown and white dog licking a bowl in a kitchen.
S443	A large sight hound licks a bowl in the kitchen.
S444	The large brown and white dogs inspects a bowl on the wooden floor.
S445	A black dog is standing near some scaffolding with some plywood in front of it.
S446	A black dog standing in a room being constructed.
S447	A black dog stands in the middle of a construction site.
S448	A black dog stands next to materials at a construction site.
S449	A dog standing in an uncompleted house next to plywood.
S450	A brown horse and a tan calf in a pasture.
S451	A brown horse standing near a fowl in a grassy paddock.
S452	Adult horse and foal standing in middle of grass arena.
S453	Two horses are grazing in a field.
S454	Two horses in fenced in field.
S455	A close-up of a brown horse.
S456	A horse facing the camera with a horse in the.background
S457	A horse standing near a gate with another horse in the background.
S458	A reddish brown horse looking over a fence.
S459	A young horse looks into the camera from behind a fence.
S460	A girl in a red shirt is riding a brown horse.
S461	A girl in riding gear sits atop a brown horse.
S462	A girl riding on a brown and white horse.
S463	A young woman is riding a Bay hose in a dirt riding-ring.
S464	A young women riding a horse.
S465	A black and white photo of a woman showing a horse.
S466	A lady working with a horse in an arena.
S467	A woman displays her horse using a halter.
S468	A woman leading a white horse.
S469	A woman with a white horse.
S470	A brown horse in a green field.
S471	A brown horse is standing on grass and scrub.
S472	A brown horse stands in a lush green field.
S473	A dark brown horse standing in a field.
S474	Horse standing in a field
S475	Two brown horses in a pasture.
S476	Two brown horses standing in a green meadow.
S477	Two brown horses standing in grassy field.
S478	Two horses stand in a green field with trees.
S479	Two horses standing in a field with trees in the background.
S480	A woman equestrian riding a horse.
S481	A young female rider on a brown horse
S482	I young woman rides here horse in the English style.
S483	The woman is riding on the brown horse.
S484	Young woman in riding gear on top of horse.
S485	A girl riding a brown horse.
S486	A girl wearing a red blouse riding a brown horse.
S487	A woman riding a brown horse.
S488	A young girl riding a brown horse.
S489	A young girl wearing a helmet riding a pony.
S490	a brown horse about to start his run
S491	A brown horse in a paddock.
S492	A horse trots around in a dirt enclosure.
S493	A young horse trots.
S494	Lovely brown horse with white feet.
S495	A girl is seated on a donkey and an older woman stands to her right.
S496	An old women with a headscarf stands next to a young girl sitting on a donkey.
S497	a woman in a blue dress sitting on a donkey and a woman with a yellow scarf by her side
S498	Old woman and friend on donkey
S499	The woman leads the rider on her ass.
S500	A horse galloping while wearing the number 4.
S501	A race horse galloping without a rider.
S502	Brown race horse wearing race mask and halter.
S503	Horse in a competition.
S504	The racing horse is number four.
S505	A man and woman with helmets on brown horses at a farm.
S506	an Asian man with glasses riding on a horse and a fat woman riding on another horse to the right
S507	Smiling kid sitting on a horse
S508	The profile of a smiling boy on a horse and a woman on a horse in the back ground.
S509	Two people sitting on horses in a stable yard.
S510	A brown race horse, jockey in green, and handler.
S511	A horse jockey is mounted.
S512	A jockey rides a horse led by a walking man.
S513	The horse and jockey enters the winner circle after the race.
S514	The jockey sitting atop a brown horse smiles.
S515	A brown horse and a brown pony walking through a grassy field, seen through wooden fencepost.
S516	A brown horse and colt are walking in a green pasture.
S517	A mare and its foal are side by side.
S518	An adult horse accompanies a younger horse in a field.
S519	Mare and foal in a field of green grass.
S520	A brown horse grazing in a field of green grass.
S521	A brown horse stands in tall grass.
S522	A fenced in brown horse running through the grass.
S523	A reddish brown horse with white face in a green pasture.
S524	Brown horse standing in middle of grassy field.
S525	A child in a green shirt and riding gear riding a tan horse.
S526	A child rides a horse down a marked path.
S527	A girl in a riding hat on a horse.
S528	A girl riding a tan horse.
S529	The young rider takes a ride on the brown horse.
S530	A team of dappled white carriage horses.
S531	A white horse pulls a carriage in city streets.
S532	Two horses resting in front of an old carriage or buggy.
S533	two horses stand with the trolley behind them
S534	Two white horses and a carriage parked next to the sidewalk.
S535	A jockey in a blue jacket riding a brown horse.
S536	A jockey rides a horse at a gallop.
S537	A jockey wearing blue riding a race horse on the track.
S538	A person riding a horse and pulling it's reins.
S539	Person dressed in blue riding brown horse.
S540	a bald man smiling with a black, white-haired horse
S541	A bald man touches the nose of a black horse on the other side of a fence.
S542	A bald man with a beard pets the nose of a black and white horse at the fence.
S543	A man is staring at a horse with a white mane.
S544	A man strokes a horses nose while it stands over a fence.
S545	A foal frolicking in a grassy field.
S546	A pony running through a field.
S547	A small brown foal in a field.
S548	A young brown colt runs in the field near a white fence.
S549	A young colt running in on grass outside.
S550	A man standing near a street with a horse drawn carriage behind him
S551	A man standing on the sidewalk near a horse and carriage.
S552	A man stands for a picture with a horse-drawn carriage.
S553	A man wearing a blue t-shirt poses in front of a horse and carriage in a city street.
S554	The man is standing on the sidewalk in front of the horse.
S555	A jockey riding a horse in a pen.
S556	An English-style horse and rider.
S557	A woman in riding a brown horse.
S558	A Women riding a horse around a paddock with trees in the background.
S559	Person on horse in riding gear.
S560	A white horse is looking at the camera from inside it's pen.
S561	A white horse standing on the grass in front of a brown fence.
S562	Than horse standing in a field in front of a fence.
S563	The tan horse is in the pasture.
S564	White horse standing in fenced in field.
S565	girls ridinghorses
S566	Horse rides await the next step.
S567	Horses with mounted rides in an arena.
S568	Three children riding horses in an enclosure.
S569	Three girls sit on racing horses.
S570	A jockey races on the number 6 gray horse.
S571	a jockey riding a horse
S572	A racehorse wearing the number 6 being ridden by a jockey.
S573	Gray racing horse with green rider.
S574	The jockey looks to see if another horse is near.
S575	A beige horse poses for the camera with her foal.
S576	A brown horse and brown pony in a forest.
S577	Adult horse and foal standing in forest.
S578	A mare and her foal in the woods.
S579	Horse with colt in a forested area.
S580	A brown on in the field on a sunny day.
S581	A close-up of a brown horse standing in front of a tree.
S582	A close-up of an animal with a long face standing on grass near a tree.
S583	A close up picture of a horse wearing a jacket while in a paddock.
S584	A horse standing near a tree is facing the camera.
S585	A horse rider is riding a white horse.
S586	a man in black riding a white horse
S587	A man in riding gear on a gray horse.
S588	A man rides a prancing horse.
S589	A show jumping horse and rider galloping around an arena.
S590	A jockey rides a brown and white horse in a dirt corral.
S591	A person dressed in white on a brown horse.
S592	A person rides a brown horse.
S593	A woman riding a brown horse.
S594	Horse trotting through arena with person on back.
S595	A bay Quarter Horse with a white blaze is trotting in a field.
S596	A brown horse canters in a dirt pasture in front of a fenced of grassy area.
S597	A brown horse trotting on sand
S598	Horse trotting through the dirt.
S599	The powerful horse struts it stuff.
S600	A white horse and a white and brown horse stand together at a red fence.
S601	Profile headshot of a white horse and a colt.
S602	Two horses standing in a pen.
S603	Two white horses, one large, the other smaller with darker face, look over a fence.
S604	Two white horses staring over a fence.
S605	A boy and his mom feeding ponies through the fence.
S606	A woman and a little boy greeting horses.
S607	A woman and young boy feeding three horses.
S608	A women and child feeding a group of three horses.
S609	Two brown horses being fed in a pen.
S610	A man in a tux on a white horse.
S611	A man wearing a black outfit and hat sits on a large white horse
S612	A man with a top hat on a white horse.
S613	Man dressed in suit and top hat on top of white horse.
S614	Man sitting on white horse.
S615	A brown and white pony facing the camera.
S616	A group of horses grazing in a field.
S617	A palomino stands apart from the herd on the barest spot in the field.
S618	A stocky horse with golden main and white hooves and nose in a pasture with other horses.
S619	Pony walking through grass field.
S620	A blurry picture of a man on a white horse.
S621	A guy on a white horse.
S622	A man riding a white horse.
S623	A man riding a white horse in an arena.
S624	A statue of a man with a white horse.
S625	A man in a black uniform on a white horse.
S626	A man in a top hat rides a white horse.
S627	A man wearing black formal wear & a black top hat is riding a white show horse.
S628	A man with a top hat riding a white horse.
S629	A person in riding attire on a white horse.
S630	A heads of a horse eating clover.
S631	An up close picture of a horse in the country
S632	Profile headshot of a brown, bridled horse.
S633	The face and head of horse wearing a bridle.
S634	This chestnut horse is bridled and ready to ride.
S635	A bay foal is walking next to its mother in a grassy field.
S636	A colt walks beside its parent.
S637	A small horse runs on the grass.
S638	A young horse goes for a walk with its mother.
S639	Close-up of young horse walking next to a larger horse.
S640	A jockey riding a horse.
S641	A jockey wearing purple riding a brown horse with its tongue out.
S642	A jockey with a purple uniform shirt and hat with white pants rides a horse.
S643	Jockey dressed in purple riding horse.
S644	The jockey is wearing purple and riding a brown horse.
S645	A brown horse and rider jumping over hay bales.
S646	A girl on a horse jumps over hay bails.
S647	A horse with a rider jumps over a bale of hay.
S648	A jockey jumps a brown horse over a bale of hay.
S649	Equestrian in jumping event.
S650	A black horse with a red bridle is running with its mane flowing behind it.
S651	A horse's mane is flowing in the breeze.
S652	Black horse wearing red halter.
S653	The beautiful black horse rears its head.
S654	The mane of a black horse is blowing.
S655	Horse outfitted with riding gear.
S656	There are two brown horses with bridles on.
S657	Two draft horses are in full carting gear.
S658	two horses
S659	Two horses pulling something on the street.
S660	People riding horses in a fenced area.
S661	Two horses with riders under trees.
S662	Two people on horseback ride through a park.
S663	Two people ride horses down a park trail.
S664	two riders in a wooded park behind a wooden fence
S665	A black and white photo of three horses, their handlers, and three onlookers.
S666	Black and white scene of three people looking at three horses.
S667	People stand in the arena with horses.
S668	The horses prepare for the show.
S669	Three horses are shown using halters.
S670	A pitched tent with a horse in the background.
S671	A small tent in front of a field with a horse fenced in.
S672	A small yellow ivy tent sits in front of a horse behind a fence under a large tree.
